"Gene","Location","Probe","MedianBvalTumor","MedianBvalNormal","Corr","GTMT","GTMB","GTMut","GTCG","GTCD","GBMT","GBMB","GBMut","GBCG","GBCD","MTMut","MTCG","MTCD","MBMut","MBCG","MBCD","MutCG","MutCD","GTMTnSig","GTMBnSig","GBMTnSig","GBMBnSig"
"NXN","GeneBody","cg19669385","0.8571","0.7813","0.255168996408615","35","3","0","14","29","5","49","1","6","49","0","9","26","1","11","36","0","0","1","0","1","2"
"NXN","GeneBody","cg02273477","0.7155","0.7178","0.309808744225467","20","2","0","14","29","7","48","1","6","49","0","5","42","1","12","41","0","0","3","0","0","1"
"NXN","GeneBody","cg23884149","0.8657","0.9073","0.654140677489101","22","0","0","14","29","5","50","1","6","49","0","11","27","1","9","46","0","0","1","2","0","1"
"NXN","GeneBody","cg20764358","0.7902","0.7925","0.336777469763251","29","2","0","14","29","5","51","1","6","49","0","8","37","1","12","44","0","0","2","0","0","2"
"NXN","GeneBody","cg25236028","0.4435","0.6594","0.162771706687206","26","5","0","14","29","13","25","1","6","49","0","10","39","1","9","33","0","0","3","0","0","2"
"NXN","GeneBody","cg23749637","0.7862","0.7058","0.562453235975391","16","3","0","14","29","9","42","1","6","49","0","11","35","0","7","41","0","0","1","0","1","2"
"NXN","GeneBody","cg20403644","0.6603","0.7268","0.487808789685172","26","0","0","14","29","3","58","1","6","49","0","11","35","1","11","45","0","0","0","1","2","1"
"NXN","GeneBody","cg18760502","0.6954","0.7693","0.451775518265761","35","2","0","14","29","4","52","1","6","49","0","9","46","0","10","38","0","0","2","0","1","1"
"NXN","GeneBody","cg07090980","0.6378","0.6126","0.140911613070423","12","11","0","14","29","11","39","1","6","49","0","9","40","0","13","44","0","0","0","3","2","0"
"NXN","GeneBody","cg02262633","0.9087","0.9325","0.297783428927667","17","12","0","14","29","8","34","1","6","49","0","14","24","0","14","37","0","0","0","3","1","1"
"NXN","GeneBody","cg19987768","0.5284","0.3143","-0.140962148235996","19","3","0","14","29","6","44","1","6","49","0","14","41","0","6","38","0","0","0","1","2","1"
"NXN","GeneBody","cg13357416","0.962","0.9628","0.76441135467972","26","0","0","14","29","3","54","1","6","49","0","6","40","1","10","44","0","0","0","2","1","1"
"NXN","GeneBody","cg14235846","0.7236","0.5723","0.50665063299223","17","4","0","14","29","12","42","1","6","49","0","9","37","0","7","41","0","0","2","0","1","1"
"NXN","GeneBody","cg09780231","0.4107","0.3864","0.019356534030672","20","7","0","14","29","6","43","1","6","49","0","12","36","1","11","42","0","0","0","3","3","0"
"NXN","GeneBody","cg10805039","0.5758","0.3347","-0.202926646683265","15","2","0","14","29","15","31","1","6","49","1","14","39","0","7","38","0","0","0","1","3","1"
"NXN","GeneBody","cg14193825","0.8697","0.8863","0.251435193827431","20","11","0","14","29","7","36","1","6","49","0","14","24","0","14","38","0","0","0","3","1","1"
"NXN","GeneBody","cg23241448","0.3329","0.108","-0.0525152448997641","18","3","0","14","29","10","42","1","6","49","0","16","35","0","6","37","0","0","0","0","2","1"
"NXN","GeneBody","cg25293325","0.5271","0.5065","0.165686691106466","16","6","0","14","29","6","45","1","6","49","0","8","39","1","15","41","0","0","0","3","3","0"
"NXN","GeneBody","cg13120258","0.3905","0.6121","0.0139553220721541","29","3","0","14","29","9","29","1","6","49","0","7","40","1","8","31","0","0","3","0","0","3"
"NXN","GeneBody","cg13476078","0.5259","0.7331","0.14251619615644","26","5","0","14","29","14","26","1","6","49","0","11","38","1","8","33","0","0","3","0","0","2"
"NXN","GeneBody","cg14136893","0.6743","0.6333","-0.0504938719475036","14","10","0","14","29","12","33","1","6","49","0","9","30","0","14","40","0","0","0","4","2","0"
