"Dataset","Gene","Location","Probe","MedianBvalTumor","MedianBvalNormal","GTMT","GTMB","GTMut","GTCG","GTCD","GBMT","GBMB","GBMut","GBCG","GBCD","GTMTnSig","GTMBnSig","GBMTnSig","GBMBnSig"
"OV","ATP2A1","BeforeGene","cg11094938","0.92535",NA,"0.20004633410409","1","1","0.0409287854136221","1","1","0.801107029575626","1","1","0.294205996051751","1","1","1","1"
"OV","ATP2A1","BeforeGene","cg00000292","0.8255",NA,"1","0.0473085110236679","1","0.0409287854136221","1","0.996909991311999","1","1","1","0.294205996051751","1","1","1","1"
"OV","SLMAP","BeforeGene","cg11743795","0.0112",NA,"1","0.0494609084785949","1","5.53461576683301e-06","1","0.00207224992447184","1","1","1","9.52080884631658e-14","1","1","1","1"
"OV","SLMAP","BeforeGene","cg00002426","0.09255",NA,"1","1","1","5.53461576683301e-06","1","0.111108302650098","1","1","1","9.52080884631658e-14","1","1","1","1"
"OV","MEOX2","GeneBody","cg00003994","0.03685",NA,"1","0.389242174430207","1","0.159352542066615","1","0.633484759767673","1","1","1","1","1","1","1","1"
"OV","MEOX2","GeneBody","cg13047892","0.02435",NA,"1","0.906053209495114","1","0.159352542066615","1","0.820166714064601","1","1","1","1","1","1","1","1"
"OV","HOXD3","BeforeGene","cg18702197","0.24155",NA,"1","0.00978754395700263","1","0.060393521273013","1","1","1","1","1","0.124227703998083","1","1","1","1"
"OV","HOXD3","BeforeGene","cg00005847","0.6335",NA,"1","5.4530945642688e-07","1","0.060393521273013","1","1","1","1","1","0.124227703998083","1","1","1","1"
"OV","PANX1","BeforeGene","cg25565479","0.0835",NA,"1","0.0225973063673837","1","1.03798387030726e-13","1","0.30586095320215","1","1","1","1.05006820521771e-11","1","1","1","1"
"OV","PANX1","BeforeGene","cg00007981",NA,NA,"1","0.00663775311112981","1","1.03798387030726e-13","1","0.0572997490365737","1","1","1","1.05006820521771e-11","1","1","1","1"
"OV","COX8C","BeforeGene","cg27651218","0.96425",NA,"1","5.17128512109073e-11","1","0.118124175772163","1","1","1","1","1","1","1","1","1","1"
"OV","COX8C","BeforeGene","cg00008493","0.9883",NA,"1","1.96809457489148e-08","1","0.118124175772163","1","1","1","1","1","1","1","1","1","1"
