"Dataset","Gene","Location","Probe","MedianBvalTumor","MedianBvalNormal","GTMT","GTMB","GTMut","GTCG","GTCD","GBMT","GBMB","GBMut","GBCG","GBCD","GTMTnSig","GTMBnSig","GBMTnSig","GBMBnSig"
"BRCA","NXN","GeneBody","cg19669385","0.8704","0.6969","0.0262069801461749","0.410603532354534","1","5.47856837847785e-05","1","1","0.0217146473526682","1","1","1","1","1","1","0.575402246047205"
"BRCA","NXN","GeneBody","cg23884149","0.84405","0.9223","1","1","1","5.47856837847785e-05","1","1","0.000991236984210261","1","1","1","1","1","1","1"
"BRCA","NXN","GeneBody","cg25364619","0.5572","0.1841","1","1.67372649196956e-05","1","5.47856837847785e-05","1","0.000906149598974167","1","1","1","1","1","0.524576601947412","1","1"
"BRCA","NXN","GeneBody","cg26787320","0.82705","0.9455","0.00124996954188658","1","1","5.47856837847785e-05","1","1","1.00307254201905e-12","1","1","1","1","1","1","1"
"BRCA","NXN","GeneBody","cg20764358","0.71925","0.8162","0.591312057619891","0.823618148232393","1","5.47856837847785e-05","1","1","3.99138500650446e-09","1","1","1","1","1","1","1"
"BRCA","NXN","GeneBody","cg27345989","0.5078","0.6554","1","1","1","5.47856837847785e-05","1","1","2.65854346100138e-05","1","1","1","1","1","0.787503073969715","1"
"BRCA","NXN","GeneBody","cg20403644","0.39905","0.6688","3.89756497688271e-06","1","1","5.47856837847785e-05","1","1","1.4846732835699e-11","1","1","1","1","1","1","1"
"BRCA","NXN","GeneBody","cg13357416","0.83745","0.8644","0.252974054102633","1","1","5.47856837847785e-05","1","1","0.000991236984210261","1","1","1","1","1","0.787503073969715","1"
"BRCA","NXN","GeneBody","cg22237425","0.53715","0.3379","1","1.67372649196956e-05","1","5.47856837847785e-05","1","0.203546425477565","1","1","1","1","1","1","0.787503073969715","1"
"BRCA","NXN","GeneBody","cg25050975","0.71685","0.8219","0.591312057619891","1","1","5.47856837847785e-05","1","1","4.0788726113776e-08","1","1","1","0.667347965776398","1","1","1"
"BRCA","NXN","GeneBody","cg09780231","0.4488","0.639","0.0262069801461749","1","1","5.47856837847785e-05","1","0.972004871674212","0.000991236984210261","1","1","1","1","1","1","0.575402246047205"
"BRCA","NXN","GeneBody","cg23283423","0.71715","0.4674","0.0262069801461749","1","1","5.47856837847785e-05","1","0.493698052788897","0.00498184173434458","1","1","1","1","1","1","0.575402246047205"
"BRCA","NXN","GeneBody","cg23241448","0.11945","0.1857","0.252974054102633","0.823618148232393","1","5.47856837847785e-05","1","0.203546425477565","0.00498184173434458","1","1","1","1","1","1","1"
"BRCA","NXN","GeneBody","cg25293325","0.56505","0.7813","0.0262069801461749","1","1","5.47856837847785e-05","1","1","3.99138500650446e-09","1","1","1","1","1","1","1"
"BRCA","NXN","GeneBody","cg06097704","0.76905","0.5499","0.00633612880775864","1","1","5.47856837847785e-05","1","1","0.0217146473526682","1","1","1","1","1","1","1"
"BRCA","NXN","GeneBody","cg10546890","0.8208","0.9408","0.0897018016219569","1","1","5.47856837847785e-05","1","1","0.000172840609846788","1","1","1","1","1","0.787503073969715","1"
"BRCA","NXN","GeneBody","cg14717116","0.4655","0.7738","0.0002147164820662","1","1","5.47856837847785e-05","1","1","1.78269562298993e-11","1","1","1","1","1","1","0.113401535866224"
"BRCA","SGK1","GeneBody","cg17689707","0.04515","0.0188","1","0.823618148232393","1","1","1","0.203546425477565","1","1","1","0.707927394766106","1","1","1","1"
"BRCA","SGK1","GeneBody","cg20393620","0.5025","0.3575","1","0.410603532354534","1","1","1","3.36523433091343e-07","0.584539224150016","1","1","0.707927394766106","1","1","1","1"
"BRCA","SGK1","GeneBody","cg03762694","0.1489","0.1257","1","0.410603532354534","1","1","1","0.0687212597549041","1","1","1","0.707927394766106","0.667347965776398","1","1","1"
"BRCA","EN1","GeneBody","cg22970357","0.6076","0.4207","1","2.15828457525109e-08","1","9.88121036564362e-07","1","0.203546425477565","1","1","1","0.311441549607479","1","0.524576601947412","1","1"
"BRCA","EN1","GeneBody","cg12231969","0.36115","0.1464","1","0.000691307246636124","1","9.88121036564362e-07","1","0.00449257412023272","1","1","1","0.311441549607479","1","1","0.787503073969715","1"
"BRCA","EN1","GeneBody","cg03883295","0.4261","0.4712","1","0.000115300559885039","1","9.88121036564362e-07","1","0.493698052788897","1","1","1","0.311441549607479","1","0.524576601947412","1","1"
"BRCA","EN1","GeneBody","cg01165776","0.4027","0.5655","1","0.16590564601139","1","9.88121036564362e-07","1","0.203546425477565","1","1","1","0.311441549607479","1","1","1","1"
"BRCA","EN1","GeneBody","cg16794506","0.4946","0.3712","1","2.06828330141182e-06","1","9.88121036564362e-07","1","0.0687212597549041","1","1","1","0.311441549607479","1","1","1","1"
"BRCA","EN1","GeneBody","cg06704122","0.121","0.0254","1","0.16590564601139","1","9.88121036564362e-07","1","0.0687212597549041","1","1","1","0.311441549607479","1","1","1","1"
"BRCA","EN1","AfterGene","cg26990102","0.3319","0.2954","1","0.00350118705578938","1","9.88121036564362e-07","1","0.972004871674212","0.584539224150016","1","1","0.311441549607479","0.667347965776398","1","1","0.575402246047205"
"BRCA","EN1","AfterGene","cg20804050","0.32765","0.0375","1","0.000115300559885039","1","9.88121036564362e-07","1","0.000906149598974167","1","1","1","0.311441549607479","1","1","0.787503073969715","1"
"BRCA","EN1","GeneBody","cg21215767","0.5252","0.4515","1","2.06828330141182e-06","1","9.88121036564362e-07","1","0.493698052788897","1","1","1","0.311441549607479","1","0.524576601947412","1","1"
"BRCA","EN1","GeneBody","cg17167253","0.43405","0.4742","1","2.06828330141182e-06","1","9.88121036564362e-07","1","0.493698052788897","1","1","1","0.311441549607479","1","0.524576601947412","1","1"
"BRCA","EN1","GeneBody","cg21811143","0.42605","0.3357","1","1.67372649196956e-05","1","9.88121036564362e-07","1","0.493698052788897","1","1","1","0.311441549607479","1","1","1","1"
"BRCA","ZNF613","GeneBody","cg11269599","0.14665","0.0667","1","1","1","0.000123279948732002","1","0.972004871674212","1","1","1","1.43479164757807e-08","1","1","1","1"
"BRCA","ZNF613","GeneBody","cg24794228","0.1136","0.0394","1","0.823618148232393","1","0.000123279948732002","1","0.972004871674212","1","1","1","1.43479164757807e-08","0.667347965776398","1","1","1"
"BRCA","ZNF613","GeneBody","cg23010048","0.2497","0.1576","0.252974054102633","1","1","0.000123279948732002","1","0.493698052788897","1","1","1","1.43479164757807e-08","0.667347965776398","1","1","1"
"BRCA","ZNF613","GeneBody","cg03562414","0.21915","0.0918","1","0.823618148232393","1","0.000123279948732002","1","0.972004871674212","1","1","1","1.43479164757807e-08","0.667347965776398","1","1","1"
"BRCA","ZNF613","GeneBody","cg13393830","0.45995","0.2969","1","1","1","0.000123279948732002","1","1","1","1","1","1.43479164757807e-08","1","1","1","1"
"BRCA","ZNF613","GeneBody","cg16731240","0.2196","0.1103","0.591312057619891","1","1","0.000123279948732002","1","0.203546425477565","1","1","1","1.43479164757807e-08","1","1","1","1"
"BRCA","ZNF613","GeneBody","cg10635122","0.21195","0.1274","1","1","1","0.000123279948732002","1","0.972004871674212","1","1","1","1.43479164757807e-08","1","1","1","1"
"BRCA","ZNF613","GeneBody","cg10783469","0.2503","0.1483","1","1","1","0.000123279948732002","1","1","1","1","1","1.43479164757807e-08","0.667347965776398","1","1","1"
"BRCA","ZNF613","GeneBody","cg09547119","0.2513","0.171","1","1","1","0.000123279948732002","1","0.493698052788897","1","1","1","1.43479164757807e-08","1","1","1","1"
"BRCA","CTD-2128A3.2","AfterGene","cg12875720","0.6421","0.9073","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"BRCA","GPR88","GeneBody","cg14855972","0.23855","0.1039","1","1","1","1","1","0.203546425477565","1","1","1","0.151172045742885","1","1","1","1"
"BRCA","GPR88","GeneBody","cg14421860","0.03245","0.02","1","0.410195878607943","1","1","1","0.972004871674212","1","1","1","0.151172045742885","1","1","1","1"
